building,geoname_id,flc_name,lat,long
National Center for State Courts,6345382,BLDG,37.26611,-76.705
Williamsburg Municipal Building,4793861,BLDG,37.27487,-76.70829
Williamsburg Theatre,4793868,BLDG,37.2707,-76.70662
Williamsburg Fire Department,7136853,BLDG,37.2758,-76.70864
Williamsburg Fire Department Administration,7136873,BLDG,37.27507,-76.70751
Williamsburg Police Department,7137152,BLDG,37.27485,-76.70829
Ruxton Healthcare of Williamsburg,7238868,BLDG,37.2796,-76.7223
Williamsburg County Sheriff's Office,7137115,BLDG,37.26849,-76.70451
Williamsburg County Sheriff's Department,7139932,BLDG,33.66233,-79.83166
Williamsburg County Sheriff's Office,7139958,BLDG,33.66138,-79.83073
Williamsburg County Courthouse,4601152,BLDG,33.66322,-79.8309
Williamsburg County Jail,4601153,BLDG,33.66183,-79.8309
Williamsburg County Fire Department Salters,7154664,BLDG,33.59547,-79.85307
Williamsburg County Fire Department Headquarters,7154743,BLDG,33.66392,-79.82051
Williamsburg County Fire Department Nesmith,7154751,BLDG,33.65822,-79.51594
Williamsburg County Fire Department Central,7154772,BLDG,33.60582,-79.70201
Williamsburg County Fire Department Stuckey,7154777,BLDG,33.73046,-79.51983
Williamsburg County Fire Department Cooper Brothers,7154807,BLDG,33.70203,-79.70332
Williamsburg County Fire Department Greeleyville,7154834,BLDG,33.58087,-79.98911
Williamsburg County Fire Department Muddy Creek,7154903,BLDG,33.77585,-79.41166
Williamsburg County Fire Department Bloomingville,7154905,BLDG,33.53566,-79.59505
Williamsburg County Fire Department Lane,7154906,BLDG,33.52312,-79.87888
Williamsburg County Fire Department Mount Vernon,7154908,BLDG,33.69941,-79.95422
Williamsburg County Fire Department Mouzon,7154926,BLDG,33.73425,-79.92647
Williamsburg County Fire Department Trio,7154939,BLDG,33.48513,-79.7167
Williamsburg County Fire Department Suttons,7155001,BLDG,33.41314,-79.78318
Williamsburg County Fire Department Cedar Creek,7155002,BLDG,33.35781,-79.66062
Williamsburg County Fire Department Morrisville,7155003,BLDG,33.54482,-79.54506
