building,geoname_id,flc_name,lat,long
Tyler Hall,4790511,BLDG,37.26987,-76.70773
Washington Hall,4792331,BLDG,37.27015,-76.71079
Marshall Wythe Hall,4771740,BLDG,37.27154,-76.7119
Ewell Hall,4757956,BLDG,37.27015,-76.70996
Tucker Hall,6345325,BLDG,37.27139,-76.71
James Blair Hall,6345370,BLDG,37.27139,-76.71194
Jones Hall,6345371,BLDG,37.26833,-76.71667
Keck Environmental Field Lab,6345373,BLDG,37.26972,-76.7225
Lake Matoaka Art Studio,6345374,BLDG,37.26722,-76.72111
McGlothlin-Street Hall,6345379,BLDG,37.27028,-76.71167
Millington Hall,6345380,BLDG,37.26972,-76.71528
Morton Hall,6345381,BLDG,37.2675,-76.71694
Small Physical Laboratory,6345393,BLDG,37.26889,-76.71722
Adair Gymnasium,6345425,BLDG,37.26861,-76.71833
Andrews Hall,6345426,BLDG,37.26861,-76.71556
Blow Memorial Hall,6345428,BLDG,37.27222,-76.71139
